ID;Start time;Completion time;Email;Name;Attended_match_on_stadium;Role;City_with_stadium;Distance_from_stadium;Vehicle;Matches_attended;Usługi gastronomiczne;Usługi medyczne (dostępność produktów 1 pomocy);Proces zakupu biletów;Procesy ewakuacyjne (Czy wyjścia są jasno oznaczone itp.);Dostępność informacji o tym jak się zachować w przypadku niebezpieczeństwa;Dostęp do higieny (jakość toalet, produkty 1 potrzeby);Dojazd na stadion w dniu meczowym;Dostępność miejsc parkingowych;Ułatwienia dla osób niepełnosprawnych;Poczucie bezpieczeństwa;Praca służb porządkowych;Liczba personelu medycznego (czy jest ich odpowiednia liczba  w przypadku nagłego zasłabnięcia);Terminarz rozgrywek (Czy daty i godziny są dobrze zaplanowane) ;Proces wejścia i opuszczenia stadionu;Praca personelu stadionowego;Jakie aspekty Pana/Pani zdaniem powinny zostać poprawione? (NIEWYMAGANE);Rating_Ekstraklasa;Age;Sex;Education;Status_zawodowy
1;5.14.23 10:59:47;5.14.23 11:01:10;anonymous;;Tak;Kibic;Nie;10-50;Samochód;4-7;2;2;1;2;1;2;1;2;1;2;2;2;2;1;1;;4;18-25 lat;Mężczyzna;Wyższe;Uczeń/student pracujący
2;5.14.23 11:16:53;5.14.23 11:17:06;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5.14.23 11:17:15;5.14.23 11:18:30;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;4;4;4;4;3;3;2;2;3;3;3;3;4;4;4;;3;18-25 lat;Kobieta;Średnie;Uczeń/student pracujący
4;5.14.23 11:17:04;5.14.23 11:19:33;anonymous;;Tak;Kibic;Tak;10-50;Pociąg;1-3;3;3;5;2;2;2;3;3;3;4;4;3;4;3;4;Wyjazd z parkingu po meczu.;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
5;5.14.23 11:19:51;5.14.23 11:19:55;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
6;5.14.23 11:18:36;5.14.23 11:19:57;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;4;1;3;2;2;3;3;3;3;5;1;4;4;3;1;;4;18-25 lat;Mężczyzna;Średnie;Uczeń/student
7;5.14.23 11:20:35;5.14.23 11:20:38;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
8;5.14.23 11:20:06;5.14.23 11:21:12;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
9;5.14.23 11:22:52;5.14.23 11:22:59;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
10;5.14.23 11:23:50;5.14.23 11:25:20;anonymous;;Tak;Kibic;Tak;10-50;Autobus;1-3;4;5;3;4;3;4;5;4;4;2;4;5;5;4;5;;4;18-25 lat;Kobieta;Średnie;Uczeń/student
11;5.14.23 11:28:38;5.14.23 11:29:07;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
12;5.14.23 11:31:25;5.14.23 11:31:28;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
13;5.14.23 11:35:32;5.14.23 11:36:42;anonymous;;Tak;Kibic;Tak;10-50;Pociąg;1-3;4;3;4;5;4;3;3;3;3;2;4;4;5;2;4;;4;18-25 lat;Kobieta;Średnie;Uczeń/student pracujący
14;5.14.23 11:38:47;5.14.23 11:38:51;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
15;5.14.23 11:33:18;5.14.23 11:39:46;anonymous;;Tak;Kibic;Tak;10-50;Autobus + Pociąg;4-7;3;3;5;4;3;4;5;2;3;3;4;4;4;4;4;Zaostrzenie procedur bezpieczeństwa, ponieważ raz miałem nieprzyjemną sytuację w której kilka osób ucierpiało z powodu bójki.;3;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
16;5.14.23 11:52:03;5.14.23 11:52:10;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
17;5.14.23 11:53:12;5.14.23 11:53:16;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
18;5.14.23 11:54:04;5.14.23 11:54:09;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
19;5.14.23 11:54:04;5.14.23 11:54:12;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
20;5.14.23 11:57:10;5.14.23 11:58:29;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;2;4;4;4;4;2;4;4;4;4;4;4;1;4;3;;2;26-35 lat;Mężczyzna;Średnie;Pracujący
21;5.14.23 11:59:19;5.14.23 12:01:17;anonymous;;Tak;Kibic;Tak;10-50;Samochód;1-3;3;3;5;3;3;4;4;4;3;3;3;2;4;4;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student pracujący
22;5.14.23 12:06:36;5.14.23 12:08:19;anonymous;;Tak;Kibic;Tak;10-50;Autobus;8 i więcej;5;5;5;5;5;5;5;4;5;5;5;5;1;2;5;;5;26-35 lat;Kobieta;Średnie;Pracujący
23;5.14.23 12:05:57;5.14.23 12:08:36;anonymous;;Tak;Kibic;Tak;0-10;Samochód;8 i więcej;5;5;5;5;5;5;5;5;4;5;5;5;4;5;5;;3;36-45 lat;Mężczyzna;Średnie;Pracujący
24;5.14.23 12:07:42;5.14.23 12:09:35;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;8 i więcej;3;1;5;3;1;2;5;5;5;4;4;5;4;5;5;Oznaczenie ewakuacji ;4;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
25;5.14.23 12:10:21;5.14.23 12:10:28;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
26;5.14.23 12:10:27;5.14.23 12:11:47;anonymous;;Tak;Kibic;Nie;51-100;Samochód;4-7;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;;5;18-25 lat;Kobieta;Średnie;Uczeń/student
27;5.14.23 12:13:52;5.14.23 12:16:12;anonymous;;Tak;Kibic;Nie;100+;Samochód;1-3;5;5;5;5;4;5;5;4;5;4;5;4;5;5;5;;4;36-45 lat;Mężczyzna;Wyższe;Pracujący
28;5.14.23 12:19:27;5.14.23 12:21:20;anonymous;;Tak;Kibic;Tak;0-10;Autobus;8 i więcej;3;3;5;5;3;4;5;5;5;5;4;4;2;5;5;;3;36-45 lat;Kobieta;Wyższe;Pracujący
29;5.14.23 12:20:41;5.14.23 12:22:39;anonymous;;Tak;Kibic;Nie;10-50;Samochód;4-7;3;3;4;5;5;4;4;4;5;5;5;5;5;4;3;;3;Poniżej 18 lat;Mężczyzna;Podstawowe;Uczeń/student
30;5.14.23 12:21:38;5.14.23 12:24:55;anonymous;;Tak;Kibic;Nie;10-50;Samochód;1-3;4;4;5;2;3;4;2;1;2;3;4;3;4;2;4;;3;26-35 lat;Mężczyzna;Wyższe;Pracujący
31;5.14.23 12:27:36;5.14.23 12:30:20;anonymous;;Tak;Kibic;Tak;0-10;Pieszo;8 i więcej;3;2;4;4;1;3;3;2;2;5;1;3;2;2;2;;1;18-25 lat;Mężczyzna;Średnie;Uczeń/student
32;5.14.23 12:35:17;5.14.23 12:35:36;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
33;5.14.23 12:38:13;5.14.23 12:39:44;anonymous;;Tak;Kibic;Nie;10-50;Samochód;8 i więcej;4;3;5;3;3;2;4;3;5;5;3;4;4;5;3;;3;18-25 lat;Mężczyzna;Wyższe;Pracujący
34;5.14.23 12:41:03;5.14.23 12:41:06;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
35;5.14.23 12:41:08;5.14.23 12:41:13;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
36;5.14.23 12:40:26;5.14.23 12:42:19;anonymous;;Tak;Kibic;Nie;10-50;Pociąg;8 i więcej;1;3;3;3;2;3;2;1;2;3;1;3;1;3;2;;2;18-25 lat;Mężczyzna;Zawodowe;Pracujący
37;5.14.23 12:43:32;5.14.23 12:45:24;anonymous;;Tak;Kibic;Nie;51-100;Pociąg;1-3;2;4;5;3;4;3;2;5;5;3;4;5;3;3;4;;3;18-25 lat;Mężczyzna;Średnie;Uczeń/student
38;5.14.23 12:45:21;5.14.23 12:45:27;anonymous;;Nie;;;;;;;;;;;;;;;;;;;;;;;;;;
